,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
373,Sindor,62.86,51.89,8.01,91,59,8.63,RU,1608243260
374,Manokwari,-0.87,134.08,81.25,76,99,5.17,ID,1608243260
375,Lagoa,39.05,-27.98,62.58,83,40,24.47,PT,1608243260
376,Honiara,-9.43,159.95,82.4,83,20,0.89,SB,1608243260
377,Puerto López,4.08,-72.96,85.68,65,90,4.99,CO,1608243260
378,Dera Bugti,29.03,69.15,50.65,42,0,1.16,PK,1608243261
379,Cayenne,4.93,-52.33,80.6,88,100,6.93,GF,1608243261
380,Province of Mantua,45.17,10.78,46.0,93,75,2.24,IT,1608243261
381,San Luis,-33.3,-66.34,90.12,25,1,14.97,AR,1608243080
382,Los Chiles,11.03,-84.72,80.69,85,1,4.74,CR,1608243261
383,Huarmey,-10.07,-78.15,71.31,76,90,9.31,PE,1608243261
384,Oranjestad,12.52,-70.03,84.2,70,40,20.8,AW,1608243234
385,Kabanjahe,3.1,98.49,77.0,94,40,3.36,ID,1608243261
386,Jyvaskyla,62.24,25.72,26.01,100,90,5.82,FI,1608243261
387,Blyznyuky,48.86,36.56,30.54,96,100,4.03,UA,1608243261
388,Adeje,28.12,-16.73,66.99,59,20,13.87,ES,1608243104
389,Vostok,46.49,135.88,-8.81,92,99,5.03,RU,1608243261
390,Coolum Beach,-26.53,153.1,81.0,85,11,4.0,AU,1608243261
391,Chokurdakh,70.63,147.92,-3.75,92,100,12.37,RU,1608243261
392,Byron Bay,-28.65,153.62,80.01,78,40,10.29,AU,1608243200
393,Ormara,25.21,64.64,67.93,53,35,5.39,PK,1608243262
394,Catemaco,18.42,-95.12,73.4,88,90,24.16,MX,1608243262
395,Znamenskoye,57.13,73.83,13.71,96,99,7.65,RU,1608243263
396,Point Pedro,9.82,80.23,79.27,83,98,15.05,LK,1608243263
397,Inuvik,68.35,-133.72,-31.0,66,91,2.24,CA,1608243263
398,Ellensburg,47.0,-120.55,46.4,65,1,19.46,US,1608243263
399,San Jose,37.34,-121.89,57.99,66,75,13.87,US,1608243247
400,Nikolskoye,59.7,30.79,32.0,98,90,4.47,RU,1608243263
401,Natal,-5.79,-35.21,80.6,78,40,17.22,BR,1608243263
402,Kalāleh,37.38,55.49,50.0,93,75,2.68,IR,1608243263
403,Qui Nhon,13.77,109.23,74.43,88,98,17.72,VN,1608243002
404,Warri,5.52,5.75,76.96,91,85,4.54,NG,1608243263
405,Nishihara,26.18,127.76,66.2,59,90,13.87,JP,1608243263
406,Leskovik,40.15,20.6,35.6,100,7,1.12,AL,1608243263
407,Ballina,-28.87,153.57,79.0,78,40,10.29,AU,1608243264
408,Korla,41.76,86.15,16.92,88,0,0.6,CN,1608243264
409,Caranavi,-15.82,-67.55,71.49,90,100,1.7,BO,1608243264
410,Mugur-Aksy,50.35,90.5,3.92,84,100,4.07,RU,1608243264
411,Torres,-29.34,-49.73,71.33,88,97,11.27,BR,1608243055
412,Minchianabad,30.16,73.57,48.52,42,0,4.99,PK,1608243265
413,Kulhudhuffushi,6.62,73.07,81.16,69,36,2.08,MV,1608243265
414,Paamiut,61.99,-49.67,29.75,94,79,21.16,GL,1608243265
415,Turan,16.07,108.22,69.8,88,75,3.36,VN,1608243265
416,Vila Velha,-20.33,-40.29,78.8,78,0,17.22,BR,1608243265
417,Grand Gaube,-20.01,57.66,75.99,86,26,8.01,MU,1608243266
418,George Town,5.41,100.34,75.2,94,40,3.36,MY,1608243266
419,Lermontovka,47.15,134.34,-0.22,92,100,5.93,RU,1608243267
420,Bud,39.45,-86.18,32.0,96,90,6.93,US,1608243268
421,Keffi,8.85,7.87,77.0,53,0,6.93,NG,1608243268
422,Wichian Buri,15.66,101.11,70.59,66,98,7.29,TH,1608243268
423,Nueva Loja,0.08,-76.88,77.0,88,0,5.82,EC,1608243269
424,Sidrolândia,-20.93,-54.96,86.0,58,40,6.93,BR,1608243189
425,Moïssala,8.34,17.77,75.34,21,85,3.85,TD,1608243269
426,Vestmanna,62.16,-7.17,44.6,93,11,9.17,FO,1608243269
427,Mossamedes,-15.2,12.15,66.4,78,84,4.7,AO,1608243269
428,Kenitra,34.26,-6.58,57.2,93,75,4.7,MA,1608243269
429,Blythe,33.61,-114.6,53.6,37,1,6.93,US,1608243269
430,Sobolevo,54.43,31.9,33.37,96,100,6.4,RU,1608243271
431,Fort Nelson,58.81,-122.7,-16.6,62,90,3.36,CA,1608243109
432,Merauke,-8.47,140.33,79.66,83,100,8.28,ID,1608243271
433,Itarema,-2.92,-39.92,80.49,77,100,13.98,BR,1608243271
434,Balikpapan,-1.27,116.83,77.0,100,20,3.36,ID,1608243140
435,Chkalovsk,56.76,43.24,33.8,97,90,8.95,RU,1608243272
436,Kasongo-Lunda,-6.47,16.82,69.17,92,95,2.04,CD,1608243272
437,Ronda,36.74,-5.17,51.01,100,65,1.07,ES,1608243233
438,Ola,59.58,151.28,-7.82,85,100,13.18,RU,1608243272
439,Oro Valley,32.39,-110.97,73.0,16,76,5.01,US,1608243069
440,Praia,14.92,-23.51,71.6,73,40,17.22,CV,1608243272
441,Puerto Colombia,10.99,-74.95,84.2,74,20,13.87,CO,1608243272
442,Sharanga,57.18,46.54,31.89,99,100,10.8,RU,1608243272
443,Dalvik,65.97,-18.53,33.8,90,90,14.99,IS,1608243272
444,Cotonou,6.37,2.42,82.4,88,40,12.75,BJ,1608243161
445,Nanton,50.35,-113.77,41.0,69,90,9.17,CA,1608243273
446,Rock Springs,41.59,-109.2,26.6,79,90,1.14,US,1608243273
447,Batemans Bay,-35.72,150.18,75.99,65,59,3.0,AU,1608243273
448,Columbus,39.96,-83.0,30.99,92,90,6.93,US,1608243232
449,Buraidah,26.33,43.98,59.0,82,40,11.41,SA,1608243054
450,Marabá,-5.37,-49.12,82.4,83,20,3.36,BR,1608243044
451,Flin Flon,54.77,-101.86,3.2,84,90,9.17,CA,1608243274
452,Ciudad Río Bravo,25.98,-98.1,69.8,26,5,11.41,MX,1608243274
453,Severnoye,56.35,78.36,12.96,95,100,12.86,RU,1608243274
454,Chāndbāli,20.78,86.77,68.9,65,3,8.03,IN,1608243274
455,Mugan,35.94,101.38,13.46,84,100,2.48,CN,1608243274
456,Zhangye,38.93,100.45,14.61,80,100,3.47,CN,1608243274
457,Imbituba,-28.24,-48.67,69.8,94,75,8.05,BR,1608243274
458,Bensonville,6.45,-10.61,77.0,100,75,2.06,LR,1608243274
459,Sambava,-14.27,50.17,76.46,83,42,9.26,MG,1608243274
460,Finschhafen,-6.6,147.87,83.44,70,52,2.04,PG,1608243275
461,Beberibe,-4.18,-38.13,82.4,78,40,11.41,BR,1608243024
462,Bulgan,48.81,103.53,-0.6,85,0,3.06,MN,1608243275
463,Alofi,-19.06,-169.92,80.6,83,75,11.41,NU,1608243275
464,Najrān,17.49,44.13,53.6,32,0,4.7,SA,1608243275
465,Muros,42.78,-9.06,55.0,93,100,7.0,ES,1608243277
466,Salò,45.61,10.53,46.99,100,77,1.12,IT,1608243277
467,Sakakah,29.97,40.21,53.6,66,20,3.6,SA,1608243278
468,La Rioja,42.25,-2.5,44.01,93,0,5.91,ES,1608243279
469,Maloarkhangel'sk,52.4,36.5,32.04,98,100,9.15,RU,1608243279
470,Torbay,47.67,-52.73,32.0,92,90,6.93,CA,1608243279
471,Mēga,4.05,38.3,60.24,51,17,10.45,ET,1608243279
472,Bathurst,-33.42,149.58,69.01,92,20,1.01,AU,1608243160
473,Inhambane,-23.86,35.38,78.51,78,90,8.16,MZ,1608243279
474,Richards Bay,-28.78,32.04,73.38,82,100,0.22,ZA,1608243280
475,Aden,12.78,45.04,77.07,73,0,10.6,YE,1608243231
476,Nouadhibou,20.93,-17.03,68.0,72,0,19.46,MR,1608243280
477,Lafia,8.48,8.52,80.47,22,100,3.15,NG,1608243280
478,Sola,-13.88,167.55,82.4,83,90,8.95,VU,1608243280
479,Mandalgovi,45.76,106.27,-2.63,88,0,9.42,MN,1608243280
480,Ambāgarh Chauki,20.78,80.72,61.57,69,0,6.55,IN,1608243280
481,Gouré,13.98,10.27,73.0,23,65,7.0,NE,1608243281
482,Srednekolymsk,67.45,153.68,-17.25,88,99,7.29,RU,1608243281
483,Aykino,62.22,49.99,13.6,93,97,11.23,RU,1608243281
484,Ucluelet,48.93,-125.55,48.99,81,75,10.29,CA,1608243073
485,Idaho Falls,43.47,-112.03,33.01,97,90,5.82,US,1608243281
486,Māndleshwar,22.18,75.67,50.0,81,0,4.7,IN,1608243281
487,Yulara,-25.24,130.99,71.6,60,40,12.75,AU,1608243281
488,Lahat,-3.8,103.53,72.64,76,100,1.86,ID,1608243079
489,Berlevåg,70.86,29.09,19.4,62,0,17.22,NO,1608243281
490,Ouahigouya,13.58,-2.42,80.46,16,7,9.62,BF,1608243281
491,Skjervøy,70.03,20.97,24.49,91,0,21.43,NO,1608243281
492,Wasilla,61.58,-149.44,19.0,57,75,11.41,US,1608243281
493,Bartica,6.4,-58.62,78.8,94,75,2.24,GY,1608243281
494,Umm Kaddadah,13.6,26.69,61.81,30,0,16.22,SD,1608243282
495,Berbera,10.44,45.01,77.02,71,87,1.81,SO,1608243282
496,Mount Isa,-20.73,139.5,84.2,58,89,4.7,AU,1608243282
497,Barcelos,41.54,-8.62,53.6,81,75,9.17,PT,1608243254
498,Pochutla,15.74,-96.47,87.8,48,5,11.41,MX,1608243282
499,Melilla,35.29,-2.94,59.0,82,0,1.12,ES,1608243283
500,El Alto,-4.27,-81.21,71.22,78,63,15.59,PE,1608243283
501,Butajīra,8.12,38.37,54.99,40,14,6.82,ET,1608243283
502,Bay-Khaak,51.17,94.5,2.89,88,100,1.57,RU,1608243283
503,Ekangala,-25.7,28.75,64.4,93,90,2.24,ZA,1608243283
504,Mokhsogollokh,61.47,128.92,-26.37,83,100,7.7,RU,1608243283
505,Asău,46.43,26.4,36.0,93,90,3.36,RO,1608243283
506,Tres Picos,15.87,-93.53,89.02,45,0,6.62,MX,1608243283
507,Edson,53.58,-116.44,10.4,72,90,10.29,CA,1608243101
508,Timaru,-44.4,171.25,66.0,85,78,7.0,NZ,1608243283
509,San Vicente,-26.62,-54.13,77.11,69,74,1.57,AR,1608243284
510,Tilichiki,60.47,166.1,3.2,94,100,10.51,RU,1608243285
511,Yefremov,53.15,38.1,33.48,93,100,11.74,RU,1608243285
512,Dieburg,49.9,8.84,41.0,100,20,2.24,DE,1608243285
513,Laguna,38.42,-121.42,57.2,67,1,8.05,US,1608243285
514,Quatre Cocos,-20.21,57.76,77.0,88,75,14.99,MU,1608243285
515,Henties Bay,-22.12,14.28,62.01,89,31,1.99,NA,1608243285
516,Olinda,-8.01,-34.86,78.8,69,40,9.17,BR,1608243285
517,Udachny,66.42,112.4,-29.2,66,0,2.24,RU,1608243285
518,The Valley,18.22,-63.06,82.4,78,75,9.17,AI,1608243285
519,Pedras de Fogo,-7.4,-35.12,80.6,78,20,11.41,BR,1608243077
520,Simga,21.63,81.7,64.0,55,24,6.71,IN,1608243286
521,Ekhabi,53.51,142.97,12.09,95,100,17.72,RU,1608243286
522,Mercedes,-34.65,-59.43,89.01,37,12,3.0,AR,1608243286
523,Houma,29.6,-90.72,51.01,58,1,6.93,US,1608243001
524,Gwadar,25.12,62.33,67.14,37,91,6.58,PK,1608243286
525,Khovd,48.01,91.64,-2.7,85,3,0.92,MN,1608243287
526,Zhenjiang,32.21,119.43,37.99,77,100,3.42,CN,1608243287
527,Copiapó,-27.37,-70.33,64.4,68,40,13.87,CL,1608243287
528,Kapit,2.02,112.93,72.86,95,100,0.78,MY,1608243287
529,Tibati,6.47,12.63,70.25,23,46,3.69,CM,1608243287
530,Djibouti,11.5,42.5,75.2,69,1,12.53,DJ,1608243287
531,Port Hardy,50.7,-127.42,44.6,93,75,4.7,CA,1608243287
532,Sur,22.57,59.53,66.07,67,2,1.63,OM,1608243287
533,Arlit,18.74,7.39,72.59,19,90,6.89,NE,1608243287
534,Vestmannaeyjar,63.44,-20.27,41.54,67,53,8.12,IS,1608243287
535,Lavumisa,-27.31,31.89,70.95,93,100,2.33,SZ,1608243287
536,Voznesen'ye,61.01,35.48,23.65,94,21,7.96,RU,1608243287
537,Ahipara,-35.17,173.17,69.48,62,9,0.94,NZ,1608243287
538,Kulu,39.1,33.08,37.92,83,0,3.38,TR,1608243287
539,Ambilobe,-13.2,49.05,75.15,88,50,1.57,MG,1608243288
540,Jacareacanga,-6.22,-57.75,81.32,75,70,3.87,BR,1608243288
541,Phuket,8.0,98.25,82.99,94,20,1.12,TH,1608243288
542,Homer,59.64,-151.55,30.2,86,90,10.29,US,1608243288
543,Olafsvik,64.89,-23.71,36.57,81,100,32.23,IS,1608243288
544,High Rock,26.62,-78.28,78.8,78,75,9.17,BS,1608243289
545,Cape Canaveral,28.41,-80.6,62.6,63,1,14.99,US,1608243036
546,San Cristobal,7.77,-72.22,84.2,66,40,5.82,VE,1608243289
547,Ouadda,8.08,22.4,69.75,24,83,5.99,CF,1608243289
548,Mwinilunga,-11.74,24.43,64.38,95,100,5.01,ZM,1608243289
549,Bintulu,3.17,113.03,77.0,94,40,5.82,MY,1608243289
550,Ayan,56.45,138.17,-8.59,89,47,18.7,RU,1608243289
551,Cururupu,-1.83,-44.87,78.04,85,71,4.16,BR,1608243289
552,Talnakh,69.49,88.4,-0.4,84,90,24.61,RU,1608243289
553,Harper,4.38,-7.72,79.61,83,8,7.63,LR,1608243289
554,San Patricio,28.02,-97.52,62.6,39,1,12.75,US,1608243289
555,Palana,59.12,159.97,12.51,93,97,6.64,RU,1608243289
556,Amparafaravola,-17.58,48.22,66.99,93,23,3.36,MG,1608243289
557,Hanstholm,57.12,8.62,44.01,92,9,5.99,DK,1608243289
558,Puerto Baquerizo Moreno,-0.9,-89.6,78.8,78,75,14.99,EC,1608243290
559,Parkes,-33.13,148.18,75.81,47,30,11.25,AU,1608243290
560,Impfondo,1.64,18.07,74.82,85,96,4.05,CG,1608243290
561,Portland,45.52,-122.68,51.8,81,75,5.82,US,1608243029
562,Bonavista,48.65,-53.11,28.4,92,100,3.36,CA,1608243290
563,Roblin,51.23,-101.36,21.79,97,100,13.09,CA,1608243159
564,Belaya Gora,68.53,146.42,-10.57,90,100,3.33,RU,1608243290
565,Maner,25.65,84.88,50.0,71,21,4.7,IN,1608243290
566,Poplar Bluff,36.76,-90.39,36.0,64,40,6.93,US,1608243290
567,Emerald,-23.53,148.17,80.6,78,66,8.05,AU,1608243290
568,Novy Urengoy,66.08,76.63,7.48,94,100,16.02,RU,1608243290
